Album,Song Name,Lyrics
Kshama,ICE,"Seedhe Maut you know for the while है माता के कानो पे ice बंद करे studio में banger हम हम मंगवारे blinkit से PlayStation 5 Studio में feeling alive तभी क्या LV में रखा था knife आए Seedhe Maut you know who dies Shittin' the fan, जब मिला नी fam से Kepping it real, I'm good I sit with gang, सब बैठे झांझ में करते जाए plan और cook I got the game all shook हां रखूं मैं लवडे पे fame, हूं book अभी मैं pain हूं खुद जो चाहिए था, बावे वो change हूं खुद पर अब भी है venue कुछ झांटू जो time पर एक artist को पैसा नी देते और एक हम है artist है जिंदगी, stage वहां चढ़ने का बहाना ही देखे यहां लौंडे कुछ ज्यादा ही फेंके मैं रखूं दो चेले जो खाली लपेटे खत्म है सारी debate, जब आ जाता भाई तेरा, tension नी लेते, aanh कवि यहां ऐसे ही नी कहते, aanh, कवि कुछ ऐसे ही नी कहते (Aanh) वो सोचे हम में रहते, वो सोचे, हम करे, वही अंतर है बेटे वो SM के जंगल में कैद है, काला धन beamer सफेद है आया deep fuck up the game है ""तेरा भाई Seedhe Maut"" कवि का खेल है, aanh Seedhe Maut you know for the while है माता के कानो पे ice (Ice) बंद करे studio में banger हम हम मंगवारे blinkit से PlayStation 5 (Aanh) काम और doubly nice Double है knife तो double है life W fans, और W rise WagonR भागे हम अंदर ले vibe वो बोले ""फटरी है अब जाके लिख"" गिनते तुम दोनों हमेशा amazing (Aanh) Yeah, you are hidden blind side, caste discrimination School में समझ नहीं आता है होती क्यों है ये साली reservation? घूमे जब देश तो समझ में आया लवडे की miss education ना है तू पौत्र मेरा तो जानना क्यों चाहता है स्तोत्र मेरा? अभी तो मिले है तू हमे जानना क्यों चाहता है गोत्र मेरा? कर्मो से जाने, कर्मो से पहचाने तो वो होगा मोक्ष मेरा रातों को लिखे हम गाने तो जागे हुए देखे रोज सवेरा ना ऊपर, ना नीचे, ना जाती ना पाती, यहां मेरा कोई नेता मेरा भी दोस्त नी है तू कहे ""चलो दिल्ली"" लेकिन तू नेता जी boss नी है किसी को घंटा अफसोस नी है शायद यहां पे मेरे जैसे लोग नी है बस सीखा यही है बड़ों से तो, ये उनकी आदत, ये उनका दोष नी है नया ज़माना, ना जात-पात, आ साथ बैठ, खा दाल-भात बढ़ा बात चीत, और सांठ-गांठ, थोड़ी बात ठाठ, थोड़े ठाठ-बाट बढ़ा खाट-खाट, क्या है पानी पिया और खाया खुदा का खौफ दुनिया में खाली दो ही है दो अछूत उन दोनों के नाम है Seedhe Maut Seedhe Maut you know for the while है माता के कानो पे ice (Ice) बंद करे studio में banger हम हम मंगवारे blinkit से playstation 5(Aanh) काम और doubly nice Double है knife तो double है life W fans, और W rise WagonR भागे हम अंदर ले vibe"
Kshama,Moon Comes Up,
Kshama,Naraaz,
Kshama,RED,"एक बार फिर से Ahem, ahem Hauz Khas में club promotion (Ungh) सुबह की पहली Metro है only option जिन club'on में वो करता काम उन club'on में वो legend है और उन गलियों में they call him Calm ये है मेहनत, मज़े का विकसित रूप जहाँ भागते हम परछाइयों से जाते जहाँ पे दिखती धूप और music influential है समझा कितना मैं तबसे जबसे Eminem ने बोला तो its motherfuckin' Limp Bizkit too मैं आना-कानी करता नहीं, mic पे आते ही, I spit the truth हुआ था जो हमारे साथ, कर रहे वही हम हुबहू कुछ बच्चे हैं नए scene में who risk it to get the biscuit क्योंकि Seedhe Maut ने किया जो कहा, लिखित the sickest dudes जानमेन, जानेजान मुझे जान जाये झाँझ आए-जाये पर खाली कभी ना बाण जाये वचन जाये ना कभी, चाहे चले यहाँ प्राण जाये घमंड जाये ना जिसके ह्रदय में हनुमान जाये, ungh भारत में सबसे बेहतर दो भूखे भालू गाती नहीं है मैना तो लिखते हैं जैसे Sarojini Naidu BYJU'S जैसे fraudy नहीं, बस इतनी सी hypocrisy की we livin' like Kings in world's largest democracy, ungh भूरी है खाल, भूरी कंधे पे हाथ APJ, Bose, Bhagat Singh, Chandra Shekhar Azad बोले मुझे जब आती इस देश के लोगो की बात तो याद दिलाता रहियो इनको उस भूरी मिट्टी की औकात तो मैं anti-government, ये बोले, ""Anti-national"", मैं international Anti-establishment हूँ, बहुत ही मेहनती और sentimental Different animal, हूँ ज़हरीला chemical, इन सारे कीड़ों के लिए जो करते गाने share पर करना चाहते हमें मन-ही-मन cancel, ungh तो आ जोर लगा ले पूरी गांड का Delhi हो या Mumbai, कोई बाल ना उखाड़े मेरी झात का जाति-पाती करे जो पैदा, मारू मैं उसकी जात का Pauri Garhwali, हिंदुस्तानी, हिंदी है मेरी भाषा और इतनी आशा है कि लौंडे तू मुझे समझ पाए परवरिश में तेरी और मेरी कुछ इतना फर्क ना है एक club promoter और एक call centre वाला ये कहना चाह रहे हम दोनों अगर कर सकते हैं तो तू भी कर सकता है (Shh) नहीं थी यहाँ तीन की table (Naa) दूर रहे TV, cable (बहुत दूर) जब मारते हैं चार लोग multi (सिर्फ चार) जब नहीं थे बारह labеl जब नहीं थी bars में शक्ति जब घूमते तलाश में job की (भाई-भाई) This shit unreal, अब आते छत्तीस नहीं table में नौ की तेरा भाई है Seedhe Maut ही, बोलू जब मिलेगी मौत भी ये brеad है soggy, होते cocky, उड़ते punches, Rocky नहीं छोड़ते मौका, Mo का call आया बोला, ""Boys, got you new deal"" बोल आया घर पे कि पैसे का है no scene कांडी लौंडे जो कभी नहीं थे सुषिल सीधे करते gig पे pull up, अगर फाड़नी होती, गाड़ना होता जानता नहीं तू कौन अगर तू दोस्त है, दोस्त के यार के दोस्त का वो कहते काम पे ध्यान दे, खुद जो मांगे ध्यान बस hoes का जब सौ से ज्यादा show बजालो, आके ज्ञान चोदना हाँ कुछ लोग सीखते ही नहीं जो मिली वो जिगरी थी नहीं, मिले जो खुशी वो टिकती भी नहीं अब ऐसी फैली भीड़ है, वो कहीं पे दिखती भी नहीं ऐसा भरोसा खुद पे, college जाके degree ली नहीं तेरे भाई को चाहिए नहीं कोई reason to pop off और भाई जाए hard हैगा music का soft spot और ABJ katana लेकर करेगा chop-chop और आई नी वो यहाँ तक just to talk-talk मैं करूंगा knock-knock तो पिटेंगे opp-wop हम बाटेंगे मौत बहुत, है सारा game on lock हमारे जैसा level up यहाँ करेगा और कौन? और गले में खजाना लेकर घूमें दो boss dog जीने का कारण दोस्त, rap और family जो छू ले भाई बनता है सोना वैसे ही है साथ में है mic और कोई नहीं plan B इस हाथ में ये Casio भी लगती महंगी साथ में है fam और अब लाखों fans भी Show पे तोड़े barricades, है nation की stampede अब जाने पूरी building कौन रहता है ऊपर Lex Luthor हूँ, Superman नहीं तेरा भाई यहाँ पे पहुँचा है, बहुत भगाई सोया नहीं मैं दो-सौ night और अब भी है पैर बस टिके ज़मीन पे हूँ जबकि ले रहा साल की मैं सौ-सौ flight And I pop off right and my job’s like Mike जब भी डालू number board पे तो लड़ो मेरे pen से क्यूँ? हो pen से new, ये पैसा अभी लाखों है account में लेकिन अब भी करू rap like my rent is due क्योंकि नहीं थी यहाँ तीन की table, हमसे दूर रहे TV, cable खाली मारते जब चार लोग multi, जब नहीं थे यहाँ बारह label जब नहीं थी इन bars में शक्ति, जब नहीं थे incharge हम कश्ती के जब नहीं थी ये car और घर भी खाली माल और कड़की और एक mic और छत थी मेरी fight थी वक्त से, मेरी fight थी खुद से मेरे साथ थे शब्द ही तभी चली मेरी कलम, कहती ""रहन दो"" जाओ माँ चुदाओ, कोई नहीं चाहिए भैनचोद तेरा भाई Seedhe Maut, big plans bro यहाँ पे नहीं बचोगे, wack rap don't stand close Back to back, lab में trapped है shark दो-दो हमें नहीं करेंगे outrap ये wack लोग हम ही ने करा था पहले दिन से crack code है दोनों भाई game के backbone है दोनों भाई game के backbone"
Kshama,Shakti Aur Kshama,"Mere pass do shashtra mai chunu kya shakti ya kshama Mere pass ek lafz hai mai kahu kya shakti ya kshama Mera kya kartavya hai, shakti ya kshama Mere pass do shashtra mai chunu kya shakti ya kshama Ye kehte tu peeta kyu itni Mai peeta hu tabhi wo cheeze mai likhta nahi Aata hu tute hue ghar se Hai bhulne ki koshish aur chaara koi dikhta nahi Saharanpur do hazar paanch hua naana ka dehaant ha the wo bhi sharabi Tha ek raat mai ghar par aur baap ne lagali, aur ugle jo sach kabhi suna ni Baap pe tha sabkuch aur bada bhai padha hai mehenge se mehenge schoolo mei Jab unpe thi shakti kuch ghar wale lagate nazar aur papa the juuye mei Hua tha paida mai marne ki haalat mei rehta tha dada ki dua mei Jis din hua paida maa roi thi unhe thi chahiye еk beti par hua main Baap pe tha karza aya ghar merе koi leke Katta mei chupa tha kamre mei Ye duniya hai krur, shakti ya kshama kya lagta hai chuna us bande ne Aur pehle thi jitni bhi shakti bas mangi thi bapu ne kshama us lamhe pe Launda tha bullakad, hounga me yaha par, ye kabhi nahi socha tha sapne me Vo to tha accha dupakne me, ha dekha hai sabko tadapte hue Ek dusre pe dhanda sarakte hue, andar hi andar roz apno ko marte hue Aayi hampe jab shakti to jalte hue, shakti thi zyada toh kshama se darte hue Maa kehti hai lamhe pighalte gaye ki ham bhi to sathi hi me galte gaye Mere pass do shashtra mai chunu kya shakti ya kshama Mere pass ek lafz hai mai kahu kya shakti ya kshama Mera kya kartavya hai, shakti ya kshama Mere pass do shashtra mai chunu kya shakti ya kshama Na zaban thami aaye dilbar Na lagam laagi is dil par Ye junoon hamare rap skills par Vidya Ram Dhari Singh Dinkar ki Kavi kehna chahte hai mafi kayaro ke muh se acchi nahi lagti Kshama deti hai unko hi shobha jinki swamini bani shakti Mere bachpan se din kate anxiety mai, lage hands tied Handwriting hai bakwas toh they can't write Landmine hu mai you can run but you can't hide Manguide uppar ha sabhi se buy a land slide School me khelta tha clubo ke liye cricket Left arm medium bachpan se baller Galio me sickest se clubo me hojata tha nervous aur hogya career hit wicket Par jaha mai raha sabke saath sahi, waha log khaali rahe bas unhi ke saath sahi Jo khele unse behtar, ye kya hai bakwas bhai, Jo unse uppar banaye unhi ko baap bhai Kahani mei chupi ek seekh hai, logo ko lagta hai ke wo hai uppar jab rakhte hai auro ko wo khudse neeche, kshama ko shakti ki need hai Tabhi hum rap karte hai yaha banne ko best Asia me nahi puri duniya me best Shama fitrat me hai, busy(?) bohot pehle se Lekin ab seedhe maut shakti hai yes Toh rakhte hai kisi ko neeche nahi khudse Aur uppar ho aisa koi vyakti nahi bana Maaru say push ups aur kho jau bhakti mai Do mere shashtra hai shakti aur kshama Mere pass do shashtra mai chunu kya shakti ya kshama Mere pass ek lafz hai mai kahu kya shakti ya kshama Mera kya kartavya hai, shakti ya kshama Mere pass do shashtra mai chunu kya shakti ya kshama"
Bayaan,Chalta Reh,"जाने दे, जाने दे (जा-जा, जा-जा) जाने दे, जाने दे (जा-जा, जा-जा) जाने दे, जाने दे (जा-जा, जा-जा) जाने दे, जाने दे, ताने दे जो भी रख भेजे में रोक नहीं सकता कोई जाने दे, जाने दे (जा-जा, जा-जा) जाने दे, ताने दे जो भी (जा-जा, जा-जा) जाने दे, जाने दे (जा-जा, जा-जा) जाने दे, ताने दे जो भी (जा-जा, जा-जा) जाने दे, जाने दे (जा-जा, जा-जा) जाने दे, जाने दे (जा-जा, जा-जा) जाने दे, जाने दे (जा-जा, जा-जा) जाने दे, ताने दे जो भी (जा-जा, जा-जा) रख भेजे में रोक नहीं सकता कोई बस चाहिये नोट और है कोई चोरी नहीं, कोई चोरी नहीं नये हो पाये मोटे गड्डी छोटी नहीं एक बड़ी चंट बंदि की load है नहीं, कोई load है नहीं बस चाहिये नोट और है कोई चोर ही नहीं, कोई चोरी नही छूले तू चाँद अगर चाहे तो दूर है तू बांधे कलपाये तो क्या हुआ? क्या हुआ? एक दो दिन फुलका नहीं खाया तो दे बे तू ताली ज़माने को जेबें क्यूँ खाली कमाने दो भेजे में बात ही तू एक ही रख पैसा-पैसा-पैसा आने दो सालों पहले बाँटों ज्ञान कम कुछ पालो पहले बाँटों ज्ञान तब (Aye) सालों पहले बाँटों ज्ञान कम कुछ पालो पहले बाँटों ज्ञान तब (Aye) जाने दे, जाने दे (जा-जा, जा-जा) जाने दे, जाने दे (जा-जा, जा-जा) जाने दे, जाने दे (जा-जा, जा-जा) जाने दे, जाने दे, ताने दे जो भी रख भेजे में रोक नहीं सकता कोई जाने दे, जाने दे (जा-जा, जा-जा) जाने दे, ताने दे जो भी (जा-जा, जा-जा) जाने दे, जाने दे (जा-जा, जा-जा) जाने दे, ताने दे जो भी (जा-जा, जा-जा) जाने दे, जाने दे (जा-जा, जा-जा) जाने दे, जाने दे (जा-जा, जा-जा) जाने दे, जाने दे (जा-जा, जा-जा) जाने दे, ताने दे जो भी (जा-जा, जा-जा) रख भेजे में रोक नहीं सकता कोई चलता रह, चलता रह, जाने दे टोके ही नहीं सकता कोई गाने से (नहीं-नहीं) चलता रह चमकाके चमचों को रोक ही नहीं सकता कोई छाने से सड़ता तू पड़ता नहीं फरक हूँ बढ़ता मैं जानता भी (सही-सही) जलता तो ढलता रब कल का मैं रोक ही नहीं सकता कोई (नहीं-नहीं) अब-अब सारे कहे शाब्बास जो कुछ महीनों पहले रहते हमसे हताश थे दस्तूर है क्या या है प्रकृति का इलाज क्यूँकि अब फरक ना पड़े क्या सोचे हमें समाज Scene अब बढ़ेगा प्रगति की राह पे भाई अब चलेगा (अह) जबें भरेगा चाहिए ब्रहमांड सिर्फ चाँद नहीं चलेगा (यह) चाहा दिखाना, है तुझे मैंने की दुनिया में चींज जिन्हें आज़माना, चाहिए तुझे, है दुनिया खज़ाना और रहे हैं सालों से कंगाल, है ये एक जंजाल Company खरीदे सरकार भुगतती है जनता कम से कम खुद को रख थोड़ खुश जी अपने उसूलों पे हो जा मुक्त बस चलता रह, चलता रह जो साले चाहे हम बने ना कुछ, उन्हें जाने दे जाने दे, जाने दे (जा-जा, जा-जा) जाने दे, जाने दे (जा-जा, जा-जा) जाने दे, जाने दे (जा-जा, जा-जा) जाने दे, ताने दे जो भी (जा-जा, जा-जा) रख भेजे में रोक नहीं सकता कोई जाने दे, जाने दे (जा-जा, जा-जा) जाने दे, जाने दे (जा-जा, जा-जा) जाने दे, जाने दे (जा-जा, जा-जा) जाने दे, ताने दे जो भी (जा-जा, जा-जा) रख भेजे में रोक नहीं सकता कोई चलता रह, चलता रह, जाने दे टोके ही नहीं सकता कोई गाने से (नहीं-नहीं) चलता रह चमकाके चमचों को रोक ही नहीं सकता कोई छाने से सड़ता तू पड़ता नहीं फरक हूँ बढ़ता मैं जानता भी (सही-सही) जलता तो ढलता रब कल का मैं रोक ही नहीं सकता कोई (नहीं-नहीं)"
Bayaan,Dehshat,"Sez on the beat boy जो बोले फालतू ले लो खोप्चे में (खोप्चे में) यहाँ चले हाथी, कुत्ते भौंकते रहे चौंकते रहे सीखों सालों चौंकते रहे (चौंकते रहे) मैं खोलूँ राह, माँ बोले top पे रह झंडा गाड़ा बूंदे फाँदी दहशत है (Yo) इनको आता नहीं घंटा को झंटू वेहेम हद है पीते BP का खंभा और रहते सहमत हैं (क्यूँ) इनसे भिड़ेगा तो काका रहेम रद्द है ये बस sample है, BT है तो add जा सहम जा, बेटै सहम जा तोहफ़े में छूरी छुपाके ओढ़ेगा भेंस हाँ आ के ज़रा लेट जा मैं तेरे बिस्तर के नीचे तू बोले ""कौन है?"" मैं बोला ""Santa"" बैठी सभा में ना जाऊं खोजूँ सोना मैं, ना मैं हीरा हूँ सोचूँ कहीं चमकूँ तो तू खो जाये ना बेमानी ये ज़्यादा सही रहूँ बेनाम ही हाँ तू कहे ना हाँ में हाँ तो खायेगा का में? हाँ में हाँ होनी तो टाल होने को हुये हैं साल लेकिन अब ज़बान चखे वक्त बोले कामयाबी पास है पहले हजार चाहने वालों को भी शक था आज हटेरो को भी है मुझपे नाज़ जो बोले फालतू ले लो खोप्चे में (खोप्चे में) यहाँ चले हाथी, कुत्ते भौंकते रहे चौंकते रहे सीखों सालों चौंकते रहे (चौंकते रहे) मैं खोलूँ राह, माँ बोले top पे रह झंडा गाड़ा बूंदे फाँदी दहशत है (Yo) इनको आता नहीं घंटा को झंटू वेहेम हद है पीते BP का खंभा और रहते सहमत हैं (क्यूँ) इनसे भिड़ेगा तो काका रहेम रद्द है ये बस sample है, BT है तो add जा मुँह खोल उतना जितना खुद भी बेटा सह पा चल एक गलत चाल और गिरेगा खेल है ये जैंगा जाते-जाते किवाड़ अच्छे से भेड़ जा झंडा गाड़ा बूँदे फाड़ी अभी दहशत है उड़ेगा जो-जो छिटेगा दे दो भी लड़ोगे रो दोगे खोजोगे तो में जो दोजो में बैठा लेके पूरी सेना को आँखों से खेलूँगा गोटी मैं गोगो में top हूँ मैं loco भी तो कभी सोचूँ कि घोंचू से रोकेंगे कैसे खुद भोज हैं जो वैसे भी (यूह) ठीक है ये बस ठीक है क्या मेरा ये peak है (ना) Elite ही league है अलग गीक है बजाने की वज़ह उगाले दो पहले तो फिर आके बोल पर दो बार सोच पहले बोलने से रहियो बचकर यहाँ जो बोले फालतू ले लो खोप्चे में (खोप्चे में) यहाँ चले हाथी, कुत्ते भौंकते रहे चौंकते रहे सीखों सालों चौंकते रहे (चौंकते रहे) मैं खोलूँ राह, माँ बोले top पे रह झंडा गाड़ा बूंदे फाँदी दहशत है (Yo) इनको आता नहीं घंटा को झंटू वेहेम हद है पीते BP का खंभा और रहते सहमत हैं (क्यूँ) इनसे भिड़ेगा तो काका रहेम रद्द है ये बस sample है, BT है तो add जा"
Bayaan,Gehraiyaan,"Hello, भाई कहा है कैसी है तेरा तो कुछ पता ही नही है भाई हँ, सही है बेटे बंदे मे ही busy रहते हो (laughs) अबे हाँ मेरी बात सुन This Seedhe Maut is coming our town this weekend पापा लोग से मिल ले क्या? भई मम्मी तो मना ही करती है अभी भी पता नही क्या ही बोल रही है But Then, मिलते है यार मुझे भी बहुत पसंद है Ok then, See you Do text Rishabh,Ok मै बाकियों को बता देती हूँ। (खो दूँ खुद को, खोजु खुद को) (खो दूँ खुद को या खोजु खुद को) मै रहा डूब अभी, मदद है दूर कही है पानी फेफड़ों में, केकडो से जूज रहे में गया कूद, वो पीछे कूद गई आगे जो हुआ हैं वो, ज्यादा कुछ मशूर नहीं चल अब पास आ। थोड़ा बहुत, थोड़ा बहुत, थोड़ा बहुत थोड़ी मुलाकात, मुलाकात, मुलाकात थोड़ी खुराफत, खुराफत, खुराफत थोड़ा चला अब पास, चल अब पास, चल अब पास एक से दस में वो बीस साँसों में बस एक चीज हैं वो ऐसी जो आँखें नम करे एक से दस में वो एक से दस में वो 100 जले कितने (yeah!) जो चले 100 जने मुड़ने (100) क्या करे 100 खड़े घुटने (क्या) टेकने को राज़ी पर आखिर मे चुतिया ही चुनना है, शौक भी हैं कितने (बहुत) माँ बाप बोले फौजी हैं कितने (whoa) क्या करे और भी हैं दिल मे (ooh) कहने को काफी पर आखिर में चुतिया ही ध्यान से कोमल ये रुई सी बस खाल में घुसती हुई सुई ये लफ्ज़ तुमे जो बोलू अगर चुबे तो छोडूँ पर चाहिए भी तुम्हे हैं Louis ही बस मैं लू ही नस काट खरचो पे खरचे नही इतनी औकात कभी वो घुले ना कभी जो खुले ना ऐसी ना मारने देगी वो गाठ ये जो रोने लगी पीछे तेरे आज पता चला कल गई काट तुझे लगा बला तेरी टल गई पता चला कल कहीं देखा उसे और कोई साथ तेरी जल गई झाट ये छल नही जाग कर मेहनत और बच्चा कुछ नहीं ये नही तु कल नई ताक अब तुझपे बस तू हैं और सर की जुये था बाकी जो वाकई वो कर गई पार मै रहा डूब अभी, मदद है दूर कही पानी फेफड़ों में, केकडो से जूज रहे में गया कूद, वो पीछे कूद गई आगे जो हुआ हैं वो, ज्यादा कुछ मशूर नहीं चल अब पास आ। थोड़ा बहुत, थोड़ा बहुत, थोड़ा बहुत थोड़ी मुलाकात, मुलाकात, मुलाकात थोड़ी खुराफत, खुराफत, खुराफत थोड़ा चला अब पास, चल अब पास, चल अब पास एक से दस में वो बीस साँसों में बस एक चीज हैं वो ऐसी जो आँखें नम करे एक से दस में वो एक से दस में वो जान, वो हमे जानते नही हैं हाँ मेरे दोस्त जानते हैं मुझको तेरे दोस्त जानते हैं तुझको पर वो हमें जानते नही हैं उन्हें अंदाज़ा नहीं हैं अकेला तेरा साथ कितना घुल मिल मैं जाता खुल मैं जाता तेरे लिये धुन बजाता था अब वो बात किसी चीज मे नहीं हैं देखा सब कुछ– पैसा, शोहरत Show पे show हो वो या हो जो सब कुछ दे सके चंन्द घंटो की हैं खुशी ये मैं फ़िर कल परसो तक होऊंगा वैसा ही शांत, साथ मे हैं तन्हाई पर शुक्र हैं तुझसे कोई गिला शिकवा नही अगर तू जिंदगी मे ना आती तो इस चीज में दोहराए नी की मैं डूब जाता वो प्यार था एहसान नही वो घर था मकान नहीं वो सांस थी हवा नही ना दिल हैं दिमाग नई बस एक हीर थी, वो पास नही अब वापसी की आस नहीं मैं डूब जाऊंगा (खो दूँ खुद को या खोजु खुद को) (मैं रहा डूब)"
Bayaan,Intro,"मेघा, क्या तुमने सरिता के बच्चों को देखा है? Rapper बने फिर रहे हैं आज कल रात-रात भर music बजाते हैं ज़ोर-ज़ोर से गाली-गलोच ये भी कोई गाना है? गाने तो हमारे ज़माने में हुआ करते थे Melody, वाह! अपने बच्चों को तो ना, बिल्कुल ना सुनने दूँ, मैं ये Rap वाले गाने"
Bayaan,Kyu,"ऐसा लगे यहा छीन के ही लेना हैं जो लेना हैं दिलाने वाला कोई नही हैं यहा सोना है तो आँखे खोले सो तेरे पीछे यहा सुलाने वाला हर कोई है आँखे खोलो देखो आँखे खोलो देखो बापू बोले कोई गाल पे तमाचा दे तो दूजा भी उसी के आगे देदो मैं बोला क्यु, हाँ? ऐसे ही जाने दू क्यू दहाडु जैसे King Kong भागे सारे कीड़े कभी सपने थे free के अब ये मुझी को खरीदे पड़े पीछे मेरे, क्यू हाँ? ऐसे ही जाने दू क्यू है घिसा मैंने तीन साल खुदको मैं जगा तीन रात आँख लाल मेरी लिखी तीन बात तेरे लिए फिर क्यू हाँ? ऐसे ही जाने दू क्यू ये जो एक बार चली जाए वो बाज़ी फ़िर लौटके ना आए खो जाए, कहा जाए वो हो जाए बेटा *phew* हाँ तो फिर ऐसे ही जाने दू क्यू (Bridge) ये वक़्त तेरा आका हैं यही तेरा दोस्त, तेरा साँझा हैं ये घाव भर जाता हैं यही घाव कर जाता हैं चला हाथों की लकीरों पे निगाहें करी तीखी महंगी पड़ी बड़ी ज्यादा जो सलाह ली थी free की लिखी बीती पड़ी बाधा थी किताबे मेरी फ़ीकी जीती घड़ी घड़ी आशा करी मिर्ची भी मीठी मारी सीटी पूरा देश घूम गया दिल की सुनी तो पूरा देश मूत गया 1 महिना खिचेगा तेरा हफ्ता आधे आशिको को यहाँ पे कलेश चूम गया था मैं बैठा, कोने मे थी नज़र सभी पे जिगरा नी किसी पे, ये धी के पैसों के पुजारी, बने फिरे इनकी बत्तिया बनादि फ़िर जला दिया वो भी बिना घी के मौत आये सीधे सीधे होते काश के ये पर निकले ये चीनी से भी ज्यादा मीठे मेरा वक़्त हाथ से निकले हो जैसे रेत देख के भी दिखे नी ये झूट था सफेद शायद सही और गलत अब कोई माएने ना रखे मेरे लिए हू मैं एक गायक, एक लायक, एक नायक लेकर चलूँ अपने ऊपर एक दायत्व के तु दुनिया मेरी नज़रो से भी देख शायद पाएगा कभी पूरा खेल यहा हाथ धरे बैठा मेरा काम शमशान था बनाना तेरे लिए ज्ञान मैने बता फिर झाँक मेरी आँखो और बोल मुझे क्यु, हाँ? ऐसे ही जाने दू क्यू दहाडु जैसे King Kong भागे सारे कीड़े कभी सपने थे free के अब ये मुझी को खरीदे पड़े पीछे मेरे, क्यू हाँ? ऐसे ही जाने दू क्यू है घिसा मैंने तीन साल खुदको मैं जगा तीन रात आँख लाल मेरी लिखी तीन बात तेरे लिए फिर क्यू हाँ? (ऐसे ही जाने दू क्यू था छिना पूरा घर बार कबके थी ठीक ही ख़ाली नज़रें गडायें बैठें कीड़े पड़े इन्हे पड़े पीछे मेरे क्यू हाँ? तो फिर ऐसे ही जाने दू क्यू? ऐसे ही जाने दू क्यू? ऐसे ही जाने दू क्यू?) जनाब, दिन आज का हो या राजाओं के ज़माने का इंसान साला हर डर से निकल गया हैं चोरी का, नशे का, जिंदगी का डर एक डर रह गया समाज का डर, हाँ? इन सबने हद करी दुनिया की मानेगा तो हर घड़ी हाथ कड़ी पुढिया निकालेगा तो ज़प्त तेरी हर कली हट कर ही हुलिया क्यू सुनेगा किसी की खुद है जो किल्सा सभी से ऐसी गांडू करे हरकत ही क्यू? बनी तुम्हारे लिए सूली पर चडते तुम सर पर ही क्यू? पैसा नशा प्यार है बनने लगा दलदल ये ना ये ना छोडे कभी होने लगी खलबली क्यू? ना निकले मुह से इनके चु अब बहोतो की खपी मेरी छवि कभी पाओगे ना छू अब मै भाव भी ना दू अब भले सड़े लगे बुरा जैसे बड़े गले लगे छुरी घोपी पीछे लगा की गोली गई छु कर (छू कर) अपने भी तोड़े दिल क्यू पर? सालों से चारो के बीच हैं क्यू डर? क्यू कर गौर और इन्ही बातों पे फूक कर आये trip फसी क्यू सदी ये बसी झूट पर है थुत पर देने का दो मन भिड़ेगा तो गंद फैलेगा सहले क्या कहलेगा करू हश्र ऐसा भैड अगर तेरे चेहरे का कहर है क्यू कहने का बस फट्टी जब है सुना सच है पूरा देश घूम गया खुदकी सुनी तो सारा game rule किया माता भाग्गे चड़ेगी ज्यादा फुदी मिलेगी साली बुद्धि सूजी to पूरा भेस भूल गया भला क्यू हाँ? मैं बोला क्यु, हाँ? ऐसे ही जाने दू क्यू दहाडु जैसे King Kong भागे सारे कीड़े कभी सपने थे free के अब ये मुझी को खरीदे पड़े पीछे मेरे, क्यू हाँ? ऐसे ही जाने दू क्यू है घिसा मैंने तीन साल खुदको मैं जगा तीन रात आँख लाल मेरी लिखी तीन बात तेरे लिए फिर क्यू हाँ? ऐसे ही जाने दू क्यू ये जो एक बार चली जाए वो बाज़ी फ़िर लौटके ना आए खो जाए, कहा जाए वो हो जाए बेटा *phew* हाँ तो फिर ऐसे ही जाने दू क्यू"
